source,elev_m_observed,elev_m_xbeach,lon,lat
nathan-m,3.81,4.010757446,-81.95072,26.468225
nathan-m,3.90144,3.48912406,-81.9661929,26.4632332
nathan-m,3.87096,3.700941563,-81.960669,26.458466
nathan-m,3.90144,3.740345001,-81.9591994,26.4565631
nathan-m,3.62712,4.207354069,-81.893588,26.407048
nathan-m,3.87096,4.325978279,-81.892262,26.40632
nathan-m,3.6576,4.305929184,-81.892147,26.406677
nathan-m,3.74904,3.799078703,-81.897454,26.40988
nathan-m,3.62712,3.955615997,-81.897079,26.413212
nathan-m,3.53568,3.876495838,-81.894414,26.415702
nathan-m,3.74904,4.030279636,-81.902107,26.419894
nathan-m,3.56616,,-81.899649,26.421553
nathan-m,3.77952,3.283522606,-81.964736,26.459917
nathan-m,3.87096,3.080094337,-81.945607,26.452768
nathan-m,4.20624,4.238654137,-81.929285,26.443139
nathan-m,3.77952,4.099319458,-81.923277,26.440587
nathan-m,3.87096,3.529667616,-81.921604,26.44009
nathan-m,3.74904,3.699478388,-81.906992,26.428568
nathan-m,3.77952,3.812134504,-81.909307,26.430196
nathan-m,3.59664,3.882850647,-81.89756,26.42332
nathan-m,3.68808,4.082958221,-81.889167,26.406491
nathan-m,3.59664,3.799952745,-81.884127,26.408001
nathan-m,3.53568,3.925929308,-81.884151,26.40637
nathan-m,3.56616,3.781709909,-81.907546,26.429477
don-s,3.81,4.008954048,-81.9507,26.4682
don-s,3.90144,3.490679979,-81.9662,26.4632
don-s,3.77952,,-81.9647,26.4599
don-s,3.87096,3.705511808,-81.9607,26.4585
don-s,3.90144,3.722290039,-81.9592,26.4566
don-s,4.032504,4.341978073,-81.9561,26.4523
don-s,3.87096,3.087185144,-81.9456,26.4528
don-s,4.20624,4.188179493,-81.9293,26.4431
don-s,3.77952,4.09263134,-81.9233,26.4406
don-s,3.87096,3.546514034,-81.9216,26.4401
don-s,3.77952,3.805726767,-81.9093,26.4302
don-s,3.56616,3.784399509,-81.9075,26.4295
don-s,3.74904,3.681550741,-81.907,26.4286
don-s,3.59664,3.88167429,-81.8976,26.4233
don-s,3.56616,3.820337296,-81.8996,26.4216
don-s,3.74904,4.030279636,-81.9021,26.4199
don-s,3.53568,3.876021385,-81.8944,26.4157
don-s,3.62712,3.952287197,-81.8971,26.4132
don-s,3.74904,3.812998772,-81.8975,26.4099
don-s,3.62712,4.241464615,-81.8936,26.407
don-s,3.87096,4.313213825,-81.8923,26.4063
don-s,3.6576,4.30426836,-81.8921,26.4067
don-s,3.68808,4.084962845,-81.8892,26.4065
don-s,3.53568,3.920974493,-81.8842,26.4064
don-s,3.59664,3.803380966,-81.8841,26.408
don-s,3.675888,3.384366035,-81.9511,26.458
