,t,el,wx,wy,hs,Tp,wavedir,t_sec,t_hr
0,0.25,0.17998440000000002,-0.066344,-0.30909,0.00071987664,0.0,64.3083901926068,0.0,0.0
1,0.5,0.17992648800000002,-0.21774,-0.62246,0.00089848944,0.0,66.19839019260678,900.0,0.25
2,0.75,0.17982895200000001,-0.44402,-0.92359,0.00105622344,0.0,72.3883901926068,1800.0,0.5
3,1.0,0.17968569600000003,-0.73048,-1.2022,0.00121651776,0.0,79.3383901926068,2700.0,0.75
4,1.25,0.179548536,-1.0031,-1.3451,0.0012836956800000002,0.0,85.65839019260679,3600.0,1.0
5,1.5,0.17949976800000003,-1.2948,-1.4088,0.00122325384,0.0,91.8983901926068,4500.0,1.25
6,1.75,0.17955158400000001,-1.5906,-1.3912,0.0011273028,0.0,98.3883901926068,5400.0,1.5
7,2.0,0.179777136,-1.8731,-1.2967,0.00102894384,0.0,105.43839019260679,6300.0,1.75
8,2.25,0.18019166400000003,-2.048,-1.2326,0.0009357664800000001,0.0,111.94839019260681,7200.0,2.0
9,2.5,0.18080126400000002,-2.1978,-1.1241,0.00084182712,0.0,117.52839019260679,8100.0,2.25
10,2.75,0.18161508,-2.319,-0.97659,0.00075081384,0.0,122.7983901926068,9000.0,2.5
11,3.0,0.18260568,-2.4083,-0.79677,0.00066574416,0.0,128.0783901926068,9900.0,2.75
12,3.25,0.1838706,-2.7706,-0.55439,0.0006455054400000001,0.0,133.1183901926068,10800.0,3.0
13,3.5,0.185467752,-3.102,-0.27648,0.0007312761600000001,0.0,137.8683901926068,11700.0,3.25
14,3.75,0.18757392,-3.4017,0.02109,0.0008852916000000001,0.0,142.7083901926068,12600.0,3.5
15,4.0,0.19024092,-3.6726,0.32694,0.00109645704,0.0,147.2583901926068,13500.0,3.75
16,4.25,0.19331635200000002,-3.9923,0.61354,0.0013996720800000001,0.0,150.9983901926068,14400.0,4.0
17,4.5,0.196327776,-4.2961,0.90762,0.0018491606400000001,0.0,153.9683901926068,15300.0,4.25
18,4.75,0.19884237600000002,-4.5855,1.2054,0.00248939304,0.0,156.8783901926068,16200.0,4.5
19,5.0,0.201573384,-4.8623,1.5045,0.0033558480000000003,0.0,161.0283901926068,17100.0,4.75
20,5.25,0.20519745600000003,-4.9408,1.725,0.0043994832,0.0,168.4283901926068,18000.0,5.0
21,5.5,0.208233264,-5.0066,1.9455,0.005554980000000001,0.0,178.2483901926068,18900.0,5.25
22,5.75,0.20961096,-5.0609,2.165,0.0068296536,0.0,182.5083901926068,19800.0,5.5
23,6.0,0.210299808,-5.1049,2.3828,0.0083250024,0.0,181.5883901926068,20700.0,5.75
24,6.25,0.210763104,-5.0332,2.4933,0.0100913184,0.0,180.9083901926068,21600.0,6.0
25,6.5,0.21155558400000002,-4.9532,2.6026,0.0125294136,0.0,181.7083901926068,22500.0,6.25
26,6.75,0.21289975200000003,-4.8658,2.7103,0.0162723576,0.0,183.9583901926068,23400.0,6.5
27,7.0,0.21197925600000003,-4.7715,2.8163,0.021395436,0.0,186.0983901926068,24300.0,6.75
28,7.25,0.207425544,-4.7996,2.603,0.0276685248,0.0,187.7083901926068,25200.0,7.0
29,7.5,0.196867272,-4.82,2.3846,0.03432048,0.77692,189.3083901926068,26100.0,7.25
30,7.75,0.180575712,-4.8325,2.1626,0.040285416000000004,0.84117,192.6683901926068,27000.0,7.5
31,8.0,0.161175192,-4.8366,1.9375,0.045290232,0.89716,195.6083901926068,27900.0,7.75
32,8.25,0.137915904,-5.2348,1.739,0.048688752,0.91976,198.0783901926068,28800.0,8.0
33,8.5,0.11099292,-5.6165,1.5366,0.050203608000000004,0.99425,200.2683901926068,29700.0,8.25
34,8.75,0.08154924000000001,-5.9837,1.3328,0.051157632,1.0288,201.75839019260678,30600.0,8.5
35,9.0,0.053178456,-6.3386,1.1299,0.05175504,1.0501,202.1483901926068,31500.0,8.75
36,9.25,0.031824168,-6.3193,1.2765,0.052642008000000004,1.088,202.6483901926068,32400.0,9.0
37,9.5,0.020834604,-6.3005,1.4249,0.054784752000000006,1.1421,203.1183901926068,33300.0,9.25
38,9.75,0.0262018272,-6.2817,1.5752,0.057034176000000006,1.1548,203.2883901926068,34200.0,9.5
39,10.0,0.052672488,-6.2625,1.7272,0.058390536,1.1613,202.9383901926068,35100.0,9.75
40,10.25,0.08950147200000001,-5.7658,1.3897,0.058518552,1.1733,202.63839019260678,36000.0,10.0
41,10.5,0.125022864,-5.2624,1.0485,0.05740908,1.1909,203.3783901926068,36900.0,10.25
42,10.75,0.145627344,-4.7495,0.70366,0.05548884,1.2018,204.6683901926068,37800.0,10.5
43,11.0,0.143326104,-4.223,0.3556,0.052812696000000006,1.2158,206.69839019260678,38700.0,10.75
44,11.25,0.120231408,-4.3408,-0.27232,0.050682144000000005,1.2301,208.0183901926068,39600.0,11.0
45,11.5,0.08202777600000001,-4.387,-0.89005,0.048368712,1.2407,209.19839019260678,40500.0,11.25
46,11.75,0.033994344,-4.3799,-1.4751,0.046347888000000004,1.2508,210.0583901926068,41400.0,11.5
47,12.0,-0.0182334408,-4.3401,-2.0171,0.04458919200000001,1.2602,210.56839019260678,42300.0,11.75
48,12.25,-0.07636764,-4.3412,-2.1234,0.043214544,1.2669,211.00839019260678,43200.0,12.0
49,12.5,-0.136468104,-4.3465,-2.2325,0.042278808,1.2749,211.40839019260682,44100.0,12.25
